,DMXR1,DMXR2,C0,C1,C2,C3,C4,C5
0,55275.21076294092199,55278.302508105261943,-16.789374078949702351,357.33928150837238036,73.68724399706378847,6.786871871494321695,2.393530209907546169,-2.5103084747735731064
1,55305.129400450125104,55307.222342165572627,-24.874587064109785928,358.99479779644667587,75.00287782319867347,1.6066333743916398902,1.3146742842509986371,3.698193413765793025
2,55337.042076843325045,55340.140581389205185,128.0616760274108401,292.41321528368683857,55.307603217622471448,-10.91299139406839025,-0.18464479797725322219,7.1351298856657123793
3,55360.97687829269853,55365.10695301464148,5.433829136840572005,364.88740144600188842,81.33438651711951195,6.0222485441666249173,-0.16611299858984751587,-5.702076784447197788
4,55389.952102848241342,55396.025463305413727,-25.413499500220037675,374.41800303197459243,75.747941350414009776,-14.20183404258497184,3.4856289213871076704,11.2347080254036519875
5,55429.831958975046295,55430.930439214775106,-19.181069310056194865,370.52095665900969834,84.01694179521825845,-3.2034200917956918708,-2.4392465710858495243,0.6181354878590740176
6,55461.745789457010684,55463.839871585092627,-4.031975553231738729,369.03915952999119554,77.4555183879634086,-3.9006500828285552984,-0.19977705082434460415,3.1278770322597324594
7,55492.615909039617684,55493.71266188909794,-7.3859724536519557603,365.2409123997991287,77.812981344961173136,7.2193925925732482796,1.4846505043786275557,-5.862263343569034113
12,55578.425765017920636,55579.52226887269353,94.46314521609637893,356.8125242780967028,81.50726317661094811,11.195013776693969021,-4.6854689195143217617,-8.106376830932802591
13,55616.27719284220075,55617.37454579314362,39.60167048039090787,335.19035177891373678,69.628696992152171674,0.14445114730920566304,-1.6001388411593444605,1.4676503743437869787
14,55639.25934454677918,55641.35423968792748,41.352017987206352245,362.04449830990319015,75.432099760927144416,-8.757037851398518313,0.83428711104585318026,8.855990446954315587
15,55670.17458321492449,55674.26299381940044,60.637487776296765674,364.17382432171763185,78.01325836034507688,-3.192302147309248106,-1.821809780841703752,1.0939471148682895496
16,55700.09266208554618,55704.181767550806402,38.239532520085859346,366.63572994855599063,75.22756236771998317,-4.4339398373483964733,1.0230321241684972033,0.7959073431332610582
17,55731.008343573405,55732.104630349829677,-25.658911780293141902,367.70705873937583874,70.32755640280261389,-5.1689939091856649256,3.804726678538368212,3.7372499243915653366
20,55799.774877316725902,55800.871957574578115,-5.5037925794692839077,360.3671580137557271,80.84606569892534367,8.329286844636429876,-3.7624151086273971423,-5.4118232608326799493
21,55826.708318658354987,55828.80263432335778,-4.629115256751941132,361.4496043351980461,77.974067239954194974,-6.393672241603818307,-3.2804127911349416635,9.896265574455402003
22,55863.60648945263529,55864.69965766793757,-232.3430159333530014,326.34239791556734644,90.39296554205253642,-2.059511492772208463,-33.204771288400451112,16.396389898471507962
25,55918.456552258343436,55919.553976363880786,38.465099182330071415,350.15156623013473336,74.594283325895787584,12.909368235930092084,0.7215084635855256723,-5.1554156342657995182
26,55948.374951158431944,55949.472035648956076,56.750860285530222882,350.1772665675295002,79.54562272219656904,-2.5145329272300021017,-4.2318267085836112074,8.945055677357460766
28,56002.37960537188337,56003.433607327453494,61.11752017505123291,345.17192203379892135,72.90519856113581909,10.02393831071530883,2.3154808999227873834,-0.34243712687441313358
29,56034.236814540738123,56035.347741252524433,69.07814044303893297,349.4912429850199942,78.721336301715766126,9.750559397731750622,-2.6786751282342233793,-3.6136471182252094536
30,56066.15551026183675,56068.291760076754144,59.859992588179920858,352.1345589876991653,78.663893602529739724,6.7465719330194762193,-2.396768108961363275,-0.75990039438406631334
31,56094.08785897462075,56095.193334511379362,36.31880888356865711,349.53809263089306114,78.72528209871730098,25.949306197876371272,-1.970872417778851915,-18.817886188327655361
34,56150.891978935644143,56151.99309393893781,45.33243458927483971,356.06378806011127836,88.5393982765986749,5.529686217501167178,-7.9426707904231079738,-3.107326345829284353
35,56172.8396762781631,56174.945328778980183,41.592968185517321444,355.56406012173226827,88.871016569879515146,12.754074071215850239,-7.6572182006222835327,-10.31942127435800316
36,56193.780030996320416,56194.891325931450407,22.823196057999108888,357.13246553378940007,90.00045771984707699,4.7109777711554903235,-9.762194682981043314,-2.3000306385223785455
